W,H,cW,cH,Id,File,Text
512,512,480,272,65535,"""extra/c_chr146""","""这是尤莉亞准校哦。"""
512,512,480,272,65535,"""extra/c_chr147""","""这是奧利巴特皇子哦。"""
512,512,480,272,65535,"""extra/c_chr148""","""这是穆拉少校哦。"""
512,512,480,272,65535,"""extra/c_chr149""","""这是奧斯本宰相哦。"""
512,512,480,272,65535,"""extra/c_chr150""","""这是洛克史密斯總統哦。"""
512,512,480,272,65535,"""extra/c_chr153""","""这是吉克哦。"""
512,512,480,272,65535,"""extra/c_chr151""","""这是蓋哦。"""
512,512,480,272,65535,"""extra/c_chr154""","""这是「零」之琪雅哦。"""
512,512,480,272,0,"""extra/c_chr160""","""羅伊德２"""
512,512,480,272,0,"""extra/c_chr161""","""羅伊德３"""
512,512,480,272,1,"""extra/c_chr162""","""艾莉２"""
512,512,480,272,1,"""extra/c_chr163""","""艾莉３"""
512,512,480,272,2,"""extra/c_chr164""","""緹歐２"""
512,512,480,272,2,"""extra/c_chr165""","""緹歐３"""
512,512,480,272,2,"""extra/c_chr166""","""緹歐４"""
512,512,480,272,3,"""extra/c_chr167""","""蘭迪２"""
512,512,480,272,3,"""extra/c_chr168""","""蘭迪３"""
512,512,480,272,3,"""extra/c_chr169""","""蘭迪４"""
512,512,480,272,4,"""extra/c_chr173""","""諾艾兒２"""
512,512,480,272,4,"""extra/c_chr174""","""諾艾兒３"""
512,512,480,272,4,"""extra/c_chr175""","""諾艾兒４"""
512,512,480,272,4,"""extra/c_chr222""","""諾艾兒５"""
512,512,480,272,5,"""extra/c_chr170""","""瓦奇２"""
512,512,480,272,5,"""extra/c_chr171""","""瓦奇３"""
512,512,480,272,5,"""extra/c_chr172""","""瓦奇４"""
512,512,480,272,5,"""extra/c_chr223""","""瓦奇５"""
512,512,480,272,6,"""extra/c_chr176""","""達德利２"""
512,512,480,272,7,"""extra/c_chr189""","""莉夏２"""
512,512,480,272,7,"""extra/c_chr190""","""莉夏３"""
512,512,480,272,7,"""extra/c_chr191""","""莉夏４"""
512,512,480,272,7,"""extra/c_chr192""","""莉夏５"""
512,512,480,272,7,"""extra/c_chr193""","""莉夏６"""
512,512,480,272,8,"""extra/c_chr177""","""銀２"""
512,512,480,272,10,"""extra/c_chr182""","""亞里歐斯２"""
512,512,480,272,10,"""extra/c_chr183""","""亞里歐斯３"""
512,512,480,272,10,"""extra/c_chr224""","""亞里歐斯４"""
512,512,480,272,11,"""extra/c_chr178""","""琪雅２"""
512,512,480,272,11,"""extra/c_chr179""","""琪雅３"""
512,512,480,272,11,"""extra/c_chr180""","""琪雅４"""
512,512,480,272,13,"""extra/c_chr181""","""賽西兒２"""
512,512,480,272,13,"""extra/c_chr219""","""賽西兒３"""
512,512,480,272,13,"""extra/c_chr220""","""賽西兒４"""
512,512,480,272,14,"""extra/c_chr184""","""滴２"""
512,512,480,272,14,"""extra/c_chr185""","""滴３"""
512,512,480,272,15,"""extra/c_chr186""","""伊莉雅２"""
512,512,480,272,15,"""extra/c_chr187""","""伊莉雅３"""
512,512,480,272,15,"""extra/c_chr188""","""伊莉雅４"""
512,512,480,272,16,"""extra/c_chr205""","""修莉２"""
512,512,480,272,16,"""extra/c_chr206""","""修莉３"""
512,512,480,272,16,"""extra/c_chr207""","""修莉４"""
512,512,480,272,17,"""extra/c_chr194""","""芙蘭２"""
512,512,480,272,17,"""extra/c_chr195""","""芙蘭３"""
512,512,480,272,17,"""extra/c_chr196""","""芙蘭４"""
512,512,480,272,18,"""extra/c_chr197""","""索妮亞２"""
512,512,480,272,22,"""extra/c_chr201""","""加爾西亞２"""
512,512,480,272,23,"""extra/c_chr204""","""阿巴斯２"""
512,512,480,272,27,"""extra/c_chr202""","""霧香２"""
512,512,480,272,28,"""extra/c_chr203""","""雷克多２"""
512,512,480,272,31,"""extra/c_chr221""","""伊安２"""
512,512,480,272,32,"""extra/c_chr198""","""迪塔２"""
512,512,480,272,33,"""extra/c_chr199""","""瑪利亞貝爾２"""
512,512,480,272,33,"""extra/c_chr200""","""瑪利亞貝爾３"""
512,512,480,272,34,"""extra/c_chr209""","""西格蒙特２"""
512,512,480,272,35,"""extra/c_chr210""","""謝莉２"""
512,512,480,272,36,"""extra/c_chr211""","""坎佩尼拉２"""
512,512,480,272,38,"""extra/c_chr212""","""雅里安洛德２"""
512,512,480,272,38,"""extra/c_chr213""","""雅里安洛德３"""
512,512,480,272,38,"""extra/c_chr214""","""雅里安洛德４"""
512,512,480,272,38,"""extra/c_chr215""","""雅里安洛德５"""
512,512,480,272,43,"""extra/c_chr208""","""莉絲２"""
512,512,480,272,46,"""extra/c_chr216""","""奧利維爾２"""
512,512,480,272,47,"""extra/c_chr217""","""穆拉２"""
512,512,480,272,49,"""extra/c_chr218""","""洛克史密斯２"""
0,0,0,0,0,"""""",""""""
