Id,Data,Text
150,UACWAFAAlgAANQcwAAAAAA==,"""×735鬼炎 """
151,UACWAFAAlgAANgcwAAAAAA==,"""×736骷髏戰士"""
152,UACWAFAAlgAANwcwAAAAAA==,"""×737骷髏射手"""
153,UACWAFAAlgAAOAcwAAAAAA==,"""×738アークボーン"""
154,UACWAFAAlgAAOQcwAAAAAA==,"""×739ボーンレンジャー"""
155,UACWAFAAlgAAQAcwAAAAAA==,"""×740無頭騎士"""
156,UACWAFAAlgAAQQcwAAAAAA==,"""×741偽裝石像"""
157,UACWAFAAlgAAQgcwAAAAAA==,"""742黃金雕像"""
158,UACWAFAAlgAAQwcwAAAAAA==,"""743餓鬼亡屍"""
159,UACWAFAAlgAARAcwAAAAAA==,"""744飄舞仙女"""
160,UACWAFAAlgAASAcwAAAAAA==,"""748白遲緩蟲"""
161,UACWAFAAlgAAVgcwAAAAAA==,"""756獵犬帝王（輕裝甲）"""
165,UACWAFAAlgAAWAcwAAAAAA==,"""758黑玉烏龜"""
166,UACWAFAAlgABYAcwAAAAAA==,"""760剛鐵龍"""
167,UACWAFAAlgAAYQcwAAAAAA==,"""761深淵蠕蟲"""
168,UACWAFAAlgABYgcwAAAAAA==,"""762刀刃狂牙"""
169,UACWAFAAlgAAdAcwAAAAAA==,"""774ネペンテスキッズ"""
170,UACWAFAAlgAAgAcwAAAAAA==,"""780ソーサルコング"""
171,UACWAFAAlgAAgQcwAAAAAA==,"""781プッスゥ"""
172,UACWAFAAlgAAggcwAAAAAA==,"""782クルーイン"""
173,UACWAFAAlgAAgwcwAAAAAA==,"""783スカルカ"""
174,UACWAFAAlgAAhAcwAAAAAA==,"""784ホーホー"""
175,UACWAFAAlgAAhQcwAAAAAA==,"""785ブリザードドミナ"""
176,UACWAFAAlgAAhgcwAAAAAA==,"""786タヴィジン"""
177,UACWAFAAlgAAhwcwAAAAAA==,"""787ハバネリアン"""
178,UACWAFAAlgAAiAcwAAAAAA==,"""788グラフラッシャ"""
179,UACWAFAAlgAAiQcwAAAAAA==,"""789リーフローパー"""
180,UACWAFAAlgAAkAcwAAAAAA==,"""790ブンブ"""
181,UACWAFAAlgAAkQcwAAAAAA==,"""791デヴァイン・デルフ"""
182,UACWAFAAlgAAkgcwAAAAAA==,"""792スパイラルクロト"""
183,UACWAFAAlgAAkwcwAAAAAA==,"""793テイタニアＷ"""
184,UACWAFAAlgAAlAcwAAAAAA==,"""794モスイ"""
185,UACWAFAAlgAAlQcwAAAAAA==,"""795ゼムリアサラマンド"""
186,UACWAFAAlgAAlgcwAAAAAA==,"""796ヘヴィ・ザ・ムーン"""
187,UACWAFAAlgAAlwcwAAAAAA==,"""797ヘヴィ・ザ・スター"""
188,UACWAFAAlgAAmAcwAAAAAA==,"""798ヘヴィ・ザ・サン"""
189,UACWAFAAlgAAmQcwAAAAAA==,"""799ダークブルーゾーン"""
190,UACWAFAAlgAAAAgwAAAAAA==,"""800ヴァンガードＦ３"""
191,UACWAFAAlgAAAQgwAAAAAA==,"""801魔人アーネスト（後編）"""
192,UACWAFAAlgAAAggwAAAAAA==,"""802ダーククラウン"""
193,UACWAFAAlgAAAwgwAAAAAA==,"""803レオールガンイージ"""
194,UACWAFAAlgAABAgwAAAAAA==,"""804メデューサリザード"""
195,UACWAFAAlgAABQgwAAAAAA==,"""805マイン・ガダ"""
196,UACWAFAAlgAABggwAAAAAA==,"""806ライアットセイバー"""
198,UACWAFAAlgAACAgwAAAAAA==,"""808フェンデルドーベン"""
199,UACWAFAAlgAACQgwAAAAAA==,"""809マンインザミラー"""
210,UACWAFAAlgAAEAgwAAAAAA==,"""810グレンデル"""
211,UACWAFAAlgAAEQgwAAAAAA==,"""811ヘカトンケイル"""
212,UACWAFAAlgAAEggwAAAAAA==,"""812インフェルノドミナ"""
213,UACWAFAAlgAAEwgwAAAAAA==,"""813パズス"""
214,UACWAFAAlgAAFAgwAAAAAA==,"""814ゴートヘッド"""
215,UACWAFAAlgAAFQgwAAAAAA==,"""815ブルードラゴン"""
216,UACWAFAAlgAAFggwAAAAAA==,"""816ダングラッタ"""
217,UACWAFAAlgAAFwgwAAAAAA==,"""817ボンボン"""
218,UACWAFAAlgAAGAgwAAAAAA==,"""818ティーゲルＶ"""
219,UACWAFAAlgAAGQgwAAAAAA==,"""819ピットフィーンド"""
220,UACWAFAAlgAAIAgwAAAAAA==,"""820ブレードクーガー"""
221,UACWAFAAlgAAIQgwAAAAAA==,"""821イーブルアイ"""
222,UACWAFAAlgAAIggwAAAAAA==,"""822ラー・カイラム"""
223,UACWAFAAlgAAIwgwAAAAAA==,"""823ルミナススタチュー"""
224,UACWAFAAlgAAJAgwAAAAAA==,"""824フサバナナンヌ"""
225,UACWAFAAlgAAJQgwAAAAAA==,"""825ゲルマー"""
226,UACWAFAAlgAAJggwAAAAAA==,"""826クレイドール"""
227,UACWAFAAlgAAJwgwAAAAAA==,"""827陶器の魔喩"""
228,UACWAFAAlgAAKAgwAAAAAA==,"""828アーミーカメレオン"""
229,UACWAFAAlgAAKQgwAAAAAA==,"""829デビルズフラワー"""
230,UACWAFAAlgAAMAgwAAAAAA==,"""830ニガトマトボーイズ"""
231,UACWAFAAlgAAMQgwAAAAAA==,"""831パールラッタ"""
232,UACWAFAAlgAAMggwAAAAAA==,"""832ネオンアビスワーム"""
233,UACWAFAAlgAAMwgwAAAAAA==,"""833アルバトロス"""
234,UACWAFAAlgAANAgwAAAAAA==,"""834ノクトマッシュ"""
235,UACWAFAAlgAANQgwAAAAAA==,"""835アヴァドン"""
236,UACWAFAAlgAANggwAAAAAA==,"""836サンドピード"""
237,UACWAFAAlgAANwgwAAAAAA==,"""837マーダースーポム"""
238,UACWAFAAlgAAOAgwAAAAAA==,"""838ピンクマッシュルーム"""
239,UACWAFAAlgAAOQgwAAAAAA==,"""839ブレインウォーカー"""
240,UACWAFAAlgAAQAgwAAAAAA==,"""840村正"""
241,UACWAFAAlgAAQQgwAAAAAA==,"""841三位一體攻擊者ＲⅡ"""
242,UACWAFAAlgAAQggwAAAAAA==,"""842三位一體攻擊者ＣⅡ"""
243,UACWAFAAlgAAQwgwAAAAAA==,"""843三位一體攻擊者ＳⅡ"""
244,UACWAFAAlgAARAgwAAAAAA==,"""844メリクルオーガス"""
245,UACWAFAAlgAARQgwAAAAAA==,"""845イザヨイ"""
246,UACWAFAAlgAARggwAAAAAA==,"""846バジリスク"""
247,UACWAFAAlgAARwgwAAAAAA==,"""847ドッカボア"""
248,UACWAFAAlgAASAgwAAAAAA==,"""848フレイムグミ"""
249,UACWAFAAlgAASQgwAAAAAA==,"""849ミハルＣ"""
250,UACWAFAAlgAAUAgwAAAAAA==,"""850ムーンゲート"""
251,UACWAFAAlgAAUQgwAAAAAA==,"""851フラッグトルーパー"""
252,UACWAFAAlgAAUggwAAAAAA==,"""852アナザーワン"""
253,UACWAFAAlgAAUwgwAAAAAA==,"""853ゼロ・ナイト"""
254,UACWAFAAlgAAVAgwAAAAAA==,"""854ゼロ・ソーサラー"""
255,UACWAFAAlgAAVQgwAAAAAA==,"""855ゼロ・クロッカー"""
256,UACWAFAAlgAAVggwAAAAAA==,"""856火炎蟲"""
257,UACWAFAAlgAAVwgwAAAAAA==,"""857アンシエントシナプス"""
258,UACWAFAAlgAAWAgwAAAAAA==,"""858コバルトバジリスク"""
259,UACWAFAAlgAAWQgwAAAAAA==,"""859ゼニスゼイニー"""
261,UACWAFAAlgAAYQgwAAAAAA==,"""861ウィードクーガー"""
262,UACWAFAAlgAAYggwAAAAAA==,"""862ダイナソゥ"""
264,UACWAFAAlgAAZAgwAAAAAA==,"""864イデアグルウム"""
265,UACWAFAAlgAAZQgwAAAAAA==,"""865プリンシパリティ"""
266,UACWAFAAlgAAZggwAAAAAA==,"""866ヘイズヘイズ"""
267,UACWAFAAlgAAZwgwAAAAAA==,"""867ウロカガシ"""
268,UACWAFAAlgAAaAgwAAAAAA==,"""868マッドブルーム"""
269,UACWAFAAlgAAaQgwAAAAAA==,"""869ゲルムラルヴァ"""
270,UACWAFAAlgAAcAgwAAAAAA==,"""870アカペングー"""
271,UACWAFAAlgAAcQgwAAAAAA==,"""871アオペングー"""
272,UACWAFAAlgAAcggwAAAAAA==,"""872キペングー"""
273,UACWAFAAlgAAcwgwAAAAAA==,"""873モモペングー"""
274,UACWAFAAlgAAdAgwAAAAAA==,"""874ミドリペングー"""
275,UACWAFAAlgAAdQgwAAAAAA==,"""875シロペングー"""
277,UACWAFAAlgAAdwgwAAAAAA==,"""877タイラント"""
279,UACWAFAAlgAAeQgwAAAAAA==,"""879ゼムリアサラマンド（ラスダン）"""
300,UACWAFAAlgAAgAgwAAAAAA==,"""880摩人阿奈斯特"""
301,UACWAFAAlgAAgQgwAAAAAA==,"""881フェアリードラゴン"""
302,UACWAFAAlgAAgggwAAAAAA==,"""882故障機體Ｚ"""
304,UACWAFAAlgAAgwgwAAAAAA==,"""883魔人瓦魯多"""
303,UACWAFAAlgAAhAgwAAAAAA==,"""884スフィンキメラ"""
305,UACWAFAAlgAAhQgwAAAAAA==,"""885神機永世1"""
306,UACWAFAAlgAAhggwAAAAAA==,"""886ＲＡＴ-０９装甲車"""
307,UACWAFAAlgAAhwgwAAAAAA==,"""887ヒドラプラント"""
308,UACWAFAAlgAAiAgwAAAAAA==,"""889プラントアーム"""
309,UACWAFAAlgAAiQgwAAAAAA==,"""889エロンアーク"""
310,UACWAFAAlgAAkwgwAAAAAA==,"""892スフィンキマイラ金"""
311,UACWAFAAlgAAkggwAAAAAA==,"""893ヴァーミリオン"""
999,AAAAAAAAAAAAAAAAAAAAAA==,""" """
