W,H,cW,cH,Unk1,File,Text
256,256,256,256,0,"""visual/c_vis368""","""要觀看『瓦奇的家具１』嗎？"""
256,256,256,256,0,"""visual/c_vis369""","""要觀看『瓦奇的家具２』嗎？"""
256,256,256,256,0,"""visual/c_vis370""","""要觀看『諾艾兒的家具１』嗎？"""
256,256,256,256,0,"""visual/c_vis371""","""要觀看『諾艾兒的家具２』嗎？"""
256,256,256,256,0,"""visual/c_vis372""","""要觀看『琪雅的家具１』嗎？"""
256,256,256,256,0,"""visual/c_vis373""","""要觀看『琪雅的家具２』嗎？"""
256,256,256,256,0,"""visual/c_vis374""","""要觀看『琪雅的家具３』嗎？"""
256,256,256,256,0,"""visual/c_vis375""","""要觀看『琪雅的家具４』嗎？"""
256,256,256,256,0,"""visual/c_vis376""","""要觀看『琪雅的家具５』嗎？"""
256,256,256,256,0,"""visual/c_vis342""","""要觀看『企鵝琪雅』嗎？"""
256,256,256,256,42,"""visual/c_vis316""","""要觀看『蘭姆酒＆酒杯』嗎？"""
256,256,256,256,37,"""visual/c_vis337""","""要觀看『諾艾兒的軍牌』嗎？"""
256,256,256,256,37,"""visual/c_vis338""","""要觀看『羅伊德的軍牌』嗎？"""
0,0,0,0,0,"""""",""""""
