ItemType,Data,Name,Desc
None,CgASBAAGUAAABgIiAAAFAGQAAAAAAAAA,""" """,""" """
Repeat,,,
Repeat,,,
None,kQASAAACAQABAAAAAAAAAAAAAAAAAAAA,""" """,""" """
Repeat,,,
Repeat,,,
None,kgASAAAyAAAAAAAeAAABAAAAAAD/AAAA,"""分裂""","""分裂為兩隻，HP各為原體的1/2。"""
None,kwASAAAyAAAAAAAeAAABAAAAAAD/AAAA,"""呼叫同伴""",""" """
None,CAASAQABEA8AAAAAAAABAGQAAwAsAQAA,""" """,""" """
None,AAAAAAABAQAAAAAoAAAAAAEAAAAAAAAA,""" """,""" """
None,BwASAAAPAQAyAAAjFAACAGQAAAAAAAAA,"""加速連擊""","""攻擊戰技：小圓（指定地點）\n以帶有衝擊波的旋棍發動連續攻擊。"""
None,BwASAAABAVMzAQAeHgABAF8AAABkAA8A,"""電擊崩解""","""攻擊戰技：單體・戰技/魔法驅動解除・20％昏厥\n利用強烈的電流進行攻擊，解除驅動中的戰技和魔法。"""
None,BwDCAQAOKAA0AAAZHgAFABkAAwAAAAAA,"""鼓舞""","""輔助戰技：大圓・STR+25％\n熱烈鼓舞我方，提高士氣。一定回合內STR+25％。"""
None,BwASAAAMAQc1ZAAjHgACAGQAAAAeAAUA,"""勇猛碎擊""","""攻擊戰技：直線（指定地點）・30％封技\n將纏繞的鬥氣集於一點突破的突擊技，30％機率造成「封技」狀態。"""
None,BwDCAAAEVQA2AAAAKAAAABkAAwAAAAAA,"""燃燒之心""","""輔助戰技：自身・STR/SPD+25％・防止「所有異常狀態」\n憑借炎之鬥志使力量突破極限，但一定回合後會陷入「昏厥」狀態。"""
None,BwASAAAPAQAyAAAjHgAEAGkAAAAAAAAA,"""怒氣回旋""","""攻擊戰技：中圓（指定地點）・吸引\n更加強力的連續回旋攻擊，利用高速的攻擊將敵人擊潰。"""
None,BwASAAABAVMzAQAeHgABAG4AAABkACgA,"""電擊崩解Ⅱ""","""攻擊戰技：單體・戰技/魔法驅動解除・40％昏厥\n利用非常強烈的電流進行攻擊，解除驅動中的戰技和魔法。"""
None,BwASAAAMAQc1ZAAjIwADAGQAAABLAAUA,"""勇猛碎擊Ⅱ""","""攻擊戰技：直線（指定地點）・75％封技\n將全身的鬥氣集中於一點突破的突擊技，75％機率造成「封技」狀態。"""
Repeat,,,
None,BwDCAAAEVQA2AAAANwAAADIABQAAAAAA,"""燃燒之心Ⅱ""","""輔助戰技：自身・STR/DEF/SPD+50％・防止「所有異常狀態」\n憑借究極鬥志使力量突破極限，但一定回合後會陷入「昏厥」狀態。"""
None,BwASAAABAQAyBQAjFAABAHgAAAAAAAAA,"""３點爆擊""","""攻擊戰技：單體\n將精神凝聚集中，發動精準無比的三連射。"""
None,BwCCAQALGx0zBQAjPAACAPoAFAAUAAAA,"""神聖子彈""","""回復戰技：小圓（指定地點）・HP小回復・CP+20\n將神聖祝福加諸於子彈中，回復範圍內我方的HP與CP。"""
None,BwASAAABARI0BAAeHgABAGQAAABkAAAA,"""狂野天鵝""","""攻擊戰技：單體・戰技/魔法驅動解除\n使用兩把手槍與踢擊發動連續進攻，解除驅動中的戰技和魔法。"""
None,BwASAAAPAQA1AAAjKAAEAGQAAAAAAAAA,"""幻影十字""","""攻擊戰技：中圓（指定地點）\n踏入前線，並射出子彈的銳利攻擊。"""
None,BwCCAQACNgA2BQAyKAACAAAAAAAAAAAA,"""魔擊鐘聲""","""輔助戰技：小圓・加速\n將掌管時間法則的結界具現化並加以破壞，加速行動順序。"""
None,BwASAAAMAQAyZAAjHgACAIIAAAAAAAAA,"""穿刺""","""攻擊戰技：直線（指定地點）\n使用老式導力步槍，擊出精準無比的貫穿三連射。"""
None,BwASAAABAVQ0BgAeHgABAG4AAAAyAAMA,"""狂野天鵝Ⅱ""","""攻擊戰技：單體・戰技/魔法驅動解除・50％封魔\n更加熟練的槍擊加踢擊的連續進攻，解除驅動中的戰技和魔法。"""
Repeat,,,
None,BwASAAAPASo1AAAjLQAGAGQAAADn/wUA,"""幻影十字Ⅱ""","""攻擊戰技：大圓（指定地點）・ATS-25％\n電光石火般的連射技，一瞬間即可貫穿多個敵人。"""
None,BwASAQAET1EyZAAZFAABAOf/AwAAAAAA,"""情報解析""","""輔助戰技：單體・DEF/ADF-25％\n找出敵方要害，使其弱化。一定回合內DEF/ADF-25％。"""
Repeat,,,
None,BwASAAACAwAzAQAjHgADAG4AAAAAAAAA,"""光束斬劍""","""攻擊戰技：中圓・魔法攻擊\n在魔導杖的頂端展開光束之刃，以此橫掃敵人。"""
None,BwDCAQAEAAA0AAAeHgAAAAAAAAAAAAAA,"""賽特召喚""","""輔助戰技：召喚輔助成員「賽特」\n透過魔導杖傳送意念，呼喚賽特。"""
None,BwDCAQACGzE1BQAeKAADALwCCAAAAAAA,"""能量之環""","""回復戰技：中圓・HP中回復・解除「所有異常狀態・能力降低」\n展開能解除身體異狀的回復領域。"""
None,BwASAAALAwU2CAAjMgACAJYAAAAZAAMA,"""絕對零度""","""攻擊戰技：小圓（指定地點）・魔法攻擊・25％凍結\n用變形後的魔導杖釋放出絕對零度的魔法彈。"""
None,BwASAAACAyszAwAjHgAEAHgAAADn/wMA,"""光束斬劍Ⅱ""","""攻擊戰技：中圓・魔法攻擊・ADF-25％\n提升了光束輸出的橫掃技，可將一切物質斬斷。"""
Repeat,,,
None,BwDCAQAEAAA0AAAeHgAAAAAAAAAAAAAA,"""召喚神狼""","""輔助戰技：召喚輔助成員「神狼賽特」\n通過魔導杖傳送意念波，召喚神狼賽特參戰。"""
None,BwASAAALAwU2CAAjNwADAMgAAABkAAMA,"""絕對零度Ⅱ""","""攻擊戰技：中圓（指定地點）・魔法攻擊・100％凍結\n連續射出絕對零度的魔法彈，將更大範圍內的敵人冰封。"""
Repeat,,,
None,BwASAAACAREyAQAjFAACAFoAAAAIAAAA,"""全力一擊""","""攻擊戰技：小圓・延遲\n振臂砍下的全力一擊，可延遲敵方行動順序。"""
None,BwASAAADAQYzCAAeHgACAGQAAAAoAAMA,"""炎龍衝擊""","""攻擊戰技：直線（貫穿）・40％炎傷\n發出氣勢如猛龍一般的炎之衝擊波。"""
None,BwASAAALAQk0BQAoHgAFAEsAAAAeAAMA,"""閃光彈""","""攻擊戰技：大圓（指定地點）・30％黑暗\n投擲閃光手榴彈，30％機率造成「黑暗」狀態。"""
None,BwDCAQAENwA1AAAZAAAAAB4APAAAAAAA,"""戰嚎""","""輔助戰技：自身・CP+60・損傷值為最大HP的30％\n以戰嚎引發出鬥氣，將體力轉化為CP。"""
None,BwASAAARAQ82ZAAZHgACAG4AAAAUAAAA,"""死亡風暴""","""攻擊戰技：直線（指定地點）・20％無法戰鬥\n在戰域自由馳騁，以鬼氣逼人的威勢將敵人蹂躪。"""
None,BwASAAACAREyAQAjKAADAFoAAAAUAAAA,"""全力一擊Ⅱ""","""攻擊戰技：中圓・延遲\n向敵人的要害砍下全力一擊，大幅度延遲其行動順序。"""
None,BwASAAADAQYzDAAeIwADAGQAAABQAAMA,"""炎龍衝擊Ⅱ""","""攻擊戰技：直線（貫穿）・80％炎傷\n氣勢如猛龍一般的炎熱衝擊波，紅炎的威力有所增強。"""
None,BwASAAALAQk0BQAoIwAGAEsAAABkAAMA,"""閃光彈Ⅱ""","""攻擊戰技：大圓（指定地點）・100％黑暗\n投擲新型的強力閃光手榴彈，100％機率造成「黑暗」狀態。"""
None,BwDCAQAENwA1AAAZAAAAAEYAlgAAAAAA,"""戰嚎Ⅱ""","""輔助戰技：自身・CP+150・損傷值為最大HP的70％\n將鬥氣提升至極限的吼叫，將體力轉化為CP。"""
None,BwASAAARAQ82ZAAZKAADAIIAAAA8AAAA,"""死亡風暴Ⅱ""","""攻擊戰技：直線（指定地點）・60％無法戰鬥\n威力增強的突擊技，憑借更加強烈的殺氣將戰場蹂躪。"""
None,BwASAAABASwyAQAZFAABAGQAAADi/wMA,"""幻影衝擊""","""攻擊戰技：單體・SPD-30％\n發動高速的連擊阻止敵人前進，使其在一定回合內SPD-30％。"""
None,BwASAAAPAQAzAAAeHgACAGQAAAAAAAAA,"""旋風踢""","""攻擊戰技：小圓（指定地點）\n凭借體重施力發動的迴旋踢擊。"""
None,BwASAAAFARI0CgAZHgACAGQAAABkAAAA,"""三聖之卡""","""攻擊戰技：小圓・戰技/魔法驅動解除\n華麗地投擲出神秘卡片，解除敵人正在驅動的戰技或魔法。"""
None,BwCCAQAEQi81CgAZHgABAEsAAAAAAAAA,"""潔白之卡""","""回復戰技：單體・HP大回復・解除「所有異常狀態」\n投擲閃耀著光芒的白色卡片，回復我方一名夥伴的HP。"""
None,BwASAAALAQs2BQAjKAAFAG4AAAAZAAMA,"""七耀彈射""","""攻擊戰技：大圓（指定地點）・25％混亂\n用施加了神秘法術的撞球擊潰敵方集團。"""
None,BwASAAABASwyAQAZGQABAHgAAADO/wMA,"""幻影衝擊Ⅱ""","""攻擊戰技：單體・SPD-50％\n發動拳速更高的快速連擊阻止敵人前進，使其在一定回合內SPD-50％。"""
None,BwASAAAPAS4zAAAeIwADAHMAAAD9/wMA,"""旋風踢Ⅱ""","""攻擊戰技：中圓（指定地點）・MOV-3\n將更多敵人卷入的回旋踢，準確地攻向敵人的要害。"""
None,BwASAAAFARI0CgAZIwAGAHgAAABkAAAA,"""三聖之卡Ⅱ""","""攻擊戰技：大圓・戰技/魔法驅動解除\n投擲出經過改良的神秘卡片，解除敵人正在驅動的戰技或魔法。"""
None,BwASAAAFAQAyCAAeHgACAGQAAAAAAAAA,"""龍爪斬""","""攻擊戰技：小圓\n用鉤爪將敵人拉至面前，近身之後用大劍橫掃。"""
Repeat,,,
Repeat,,,
None,BwASAAABAQ8zBQAZFAABAGQAAAAyAAAA,"""爆雷符""","""攻擊戰技：單體・50％無法戰鬥\n投擲附有引爆符的苦無，50％機率造成「無法戰鬥」狀態。"""
None,BwDCAQAEKCw0AAAZHgABADIAAwAyAAMA,"""麒麟功""","""輔助戰技：自身・STR/SPD+50％\n瞬間提煉體內之氣，一定回合內提升STR和SPD。"""
None,BwASAAADAQA1ZAAeHgAEAG4AAAAAAAAA,"""崩月輪""","""攻擊戰技：直線（貫穿）\n擲出迴旋大劍，將眼前的敵人一掃而空。"""
None,BwDCAQAEOCw2AAAUIwABAAAAAgAyAAMA,"""月光蝶""","""輔助戰技：自身・SPD+50％・匿蹤\n融入無數銀蝶之中，從而消失身影，「銀」所使用的傳說中的隱身術。"""
None,BwASAAAFAQQyDgAeHgADAGQAAAAyAAUA,"""真・龍爪斬""","""攻擊戰技：中圓・50％毒\n將更多敵人卷入其中的暗器技，50％機率造成「毒」狀態。"""
None,BwASAAABAQ8zBQAZFAABAHgAAABaAAAA,"""真・爆雷符""","""攻擊戰技：單體・90％無法戰鬥\n向敵人要害投擲附有引爆符的苦無，90％機率造成「無法戰鬥」狀態。"""
None,BwASAAADAQ81ZAAeKAAEAHgAAAAZAAAA,"""真・崩月輪""","""攻擊戰技：直線（貫穿）・25％無法戰鬥\n抓住敵人破綻，將其橫掃的瞬殺技，25％機率造成「無法戰鬥」狀態。"""
Repeat,,,
None,BwASAQAFAQYyBwAUFAAGAGQAAAAZAAAA,"""鳳凰牙""","""攻擊戰技：大圓・25％炎傷\n全身環繞炎之鬥氣，衝入敵陣蹂躪對方，25％機率造成「炎傷」狀態。"""
Repeat,,,
