Id,Data,Text
27,UAKWAFAClgAAEgYwAAAAAA==,"""612故障機體ＤＸ"""
28,UAKWAFAClgAAEwYwAAAAAA==,"""613魔力瑪"""
29,UAKWAFAClgAAFAYwAAAAAA==,"""614疊疊蝶"""
30,UAKWAFAClgAAFQYwAAAAAA==,"""615暗黑英雄"""
31,UAKWAFAClgAAFgYwAAAAAA==,"""616白魔冠（最終頭目夥伴・回復）"""
32,UAKWAFAClgAAFwYwAAAAAA==,"""617墓地蝙蝠"""
33,UAKWAFAClgAAGAYwAAAAAA==,"""618疾風竹葉貓"""
34,UAKWAFAClgAAGQYwAAAAAA==,"""619草履飛行者"""
35,UAKWAFAClgAAIAYwAAAAAA==,"""620電塵狸貓"""
36,UAKWAFAClgAAIQYwAAAAAA==,"""621電熊"""
37,UAKWAFAClgAAIgYwAAAAAA==,"""622殺手泡泡果"""
38,UAKWAFAClgAAIwYwAAAAAA==,"""623巨型軟體獸"""
39,UAKWAFAClgAAJAYwAAAAAA==,"""624利刃香蕉獸"""
40,UAKWAFAClgAAJQYwAAAAAA==,"""625岩石鼠"""
41,UAKWAFAClgAAJgYwAAAAAA==,"""626頭罩掠食蟲"""
42,UAKWAFAClgAAJwYwAAAAAA==,"""627暗影獸"""
43,UAKWAFAClgAAKAYwAAAAAA==,"""628活盾牌"""
44,UAKWAFAClgAAKQYwAAAAAA==,"""629猛攻餓狼"""
45,UAKWAFAClgAAMAYwAAAAAA==,"""630蛋蛇"""
46,UAKWAFAClgAAMQYwAAAAAA==,"""631寒冰至尊"""
47,UAKWAFAClgAAMgYwAAAAAA==,"""632啃咬狼"""
48,UAKWAFAClgAAMwYwAAAAAA==,"""633活鎧甲"""
49,UAKWAFAClgAANAYwAAAAAA==,"""634奧多隆登羅"""
50,UAKWAFAClgAANQYwAAAAAA==,"""635活圖騰"""
51,UAKWAFAClgAANgYwAAAAAA==,"""636絨毛浮游蟲"""
52,UAKWAFAClgAANwYwAAAAAA==,"""637兇暴角牛"""
53,UAKWAFAClgAAOAYwAAAAAA==,"""638蛇虎魚"""
54,UAKWAFAClgAAOQYwAAAAAA==,"""639金斧鳥"""
55,UAKWAFAClgAAQAYwAAAAAA==,"""640苦番茄人　熟"""
56,UAKWAFAClgAAQQYwAAAAAA==,"""641苦番茄人　未"""
57,UAKWAFAClgAAQgYwAAAAAA==,"""642苦番茄人　茄"""
58,UAKWAFAClgAAQwYwAAAAAA==,"""643下衝獵鷹"""
59,UAKWAFAClgAARAYwAAAAAA==,"""644飛魚"""
60,UAKWAFAClgAARQYwAAAAAA==,"""645毀滅花冠"""
61,UAKWAFAClgAARgYwAAAAAA==,"""646活斧頭"""
62,UAKWAFAClgAARwYwAAAAAA==,"""647幻魔魚人"""
63,UAKWAFAClgAASAYwAAAAAA==,"""648飛翼蟻"""
64,UAKWAFAClgAASQYwAAAAAA==,"""649首領蚊"""
65,UAKWAFAClgAAUAYwAAAAAA==,"""650彩蛋蛇"""
66,UAKWAFAClgAAUQYwAAAAAA==,"""651豬籠草"""
67,UAKWAFAClgAAUgYwAAAAAA==,"""652熱帶射水魚"""
68,UAKWAFAClgAAUwYwAAAAAA==,"""653後衝魚"""
69,UAKWAFAClgAAVAYwAAAAAA==,"""654橡膠怪"""
70,UAKWAFAClgAAVQYwAAAAAA==,"""655蜂鳥鱷魚"""
71,UAKWAFAClgAAVgYwAAAAAA==,"""656狒狒可愛猿"""
72,UAKWAFAClgAAVwYwAAAAAA==,"""657火焰甲殼蟲"""
73,UAKWAFAClgAAWAYwAAAAAA==,"""658死亡蝸牛"""
74,UAKWAFAClgAAWQYwAAAAAA==,"""659奧比爾黏膠怪"""
75,UAKWAFAClgAAYAYwAAAAAA==,"""660赤毛猿羊"""
76,UAKWAFAClgAAYQYwAAAAAA==,"""661黃金姬蠊"""
77,UAKWAFAClgAAYgYwAAAAAA==,"""662吟遊史學蛙人"""
78,UAKWAFAClgAAYwYwAAAAAA==,"""663波姆"""
79,UAKWAFAClgAAZAYwAAAAAA==,"""664閃耀波姆"""
80,UAKWAFAClgAAZQYwAAAAAA==,"""665遲緩蟲"""
81,UAKWAFAClgAAZgYwAAAAAA==,"""656長耳可愛猿"""
82,UAKWAFAClgAAZwYwAAAAAA==,"""667紫色布丁花"""
83,UAKWAFAClgAAaAYwAAAAAA==,"""668耀晶石惡魔"""
84,UAKWAFAClgAAaQYwAAAAAA==,"""669猿羊"""
85,UAKWAFAClgAAcAYwAAAAAA==,"""670巨大蝙蝠"""
86,UAKWAFAClgAAcQYwAAAAAA==,"""671獵犬帝王"""
87,UAKWAFAClgAAcgYwAAAAAA==,"""672黑魔地獄犬"""
88,UAKWAFAClgAAcwYwAAAAAA==,"""673黑魔人"""
89,UAKWAFAClgAAdAYwAAAAAA==,"""674魔人阿奈斯特"""
90,UAKWAFAClgAAdQYwAAAAAA==,"""675火星毀滅者"""
91,UAKWAFAClgAAdgYwAAAAAA==,"""676三位一體攻擊者Ｒ"""
92,UAKWAFAClgAAdwYwAAAAAA==,"""677三位一體攻擊者Ｃ"""
93,UAKWAFAClgAAeAYwAAAAAA==,"""678三位一體攻擊者Ｓ"""
94,UAKWAFAClgAAeQYwAAAAAA==,"""679巡邏警報機"""
95,UAKWAFAClgAAgAYwAAAAAA==,"""680怪刺蟹"""
96,UAKWAFAClgAAgQYwAAAAAA==,"""681致命毒蜘蛛"""
97,UAKWAFAClgAAggYwAAAAAA==,"""682紅色電磁傲武者"""
98,UAKWAFAClgAAgwYwAAAAAA==,"""683支援野戰機"""
99,UAKWAFAClgAAhAYwAAAAAA==,"""684海洋月魔"""
100,UAKWAFAClgAAhQYwAAAAAA==,"""685強壯赤毛猩"""
101,UAKWAFAClgAAhgYwAAAAAA==,"""686蒼藍毒蜘蛛"""
102,UAKWAFAClgAAhwYwAAAAAA==,"""687噬光血魚"""
103,UAKWAFAClgAAiAYwAAAAAA==,"""688邪念惡魔"""
104,UAKWAFAClgAAiQYwAAAAAA==,"""689軟毛毒氣獸"""
105,UAKWAFAClgAAkAYwAAAAAA==,"""690勇猛・小鼠"""
106,UAKWAFAClgAAkQYwAAAAAA==,"""691魔螽斯"""
107,UAKWAFAClgAAkgYwAAAAAA==,"""692噬血蝙蝠"""
108,UAKWAFAClgAAkwYwAAAAAA==,"""693角蛙"""
109,UAKWAFAClgAAlAYwAAAAAA==,"""694泥土軟體獸"""
110,UAKWAFAClgAAlQYwAAAAAA==,"""695吸血棘刺"""
111,UAKWAFAClgAAlgYwAAAAAA==,"""696黑魔冠（最終頭目夥伴１攻）"""
112,UAKWAFAClgAAlwYwAAAAAA==,"""697海洋軟體獸"""
113,UAKWAFAClgAAmAYwAAAAAA==,"""698岩漿軟體獸"""
114,UAKWAFAClgAAmQYwAAAAAA==,"""699草地軟體獸"""
115,UAKWAFAClgAAAAcwAAAAAA==,"""700惡魔巨翼龍"""
116,UAKWAFAClgAAAQcwAAAAAA==,"""701魔塊原初恐懼"""
117,UAKWAFAClgAAAgcwAAAAAA==,"""702強壯巨骨猩"""
118,UAKWAFAClgAAAwcwAAAAAA==,"""703斧首孔雀"""
119,UAKWAFAClgAABAcwAAAAAA==,"""704黑色獵蟲"""
120,UAKWAFAClgAABQcwAAAAAA==,"""705寄生泡泡果"""
121,UAKWAFAClgAABgcwAAAAAA==,"""706冰凍百合"""
122,UAKWAFAClgAABwcwAAAAAA==,"""707狂狂蝶"""
123,UAKWAFAClgAACAcwAAAAAA==,"""708抓抓蝶"""
124,UAKWAFAClgAACQcwAAAAAA==,"""709耀晶石惡魔（黑）"""
125,UAKWAFAClgAAEAcwAAAAAA==,"""710壕溝水蛭"""
126,UAKWAFAClgAAEQcwAAAAAA==,"""711紅色食人魚"""
127,UAKWAFAClgAAEgcwAAAAAA==,"""712蛇虎魚女王"""
128,UAKWAFAClgAAEwcwAAAAAA==,"""713火焰蛇虎魚"""
129,UAKWAFAClgAAFAcwAAAAAA==,"""714墓地飛行者"""
130,UAKWAFAClgAAFQcwAAAAAA==,"""715金屬甲殼蟲"""
131,UAKWAFAClgAAFgcwAAAAAA==,"""716巨鷹"""
132,UAKWAFAClgAAFwcwAAAAAA==,"""717綠色食石怪"""
133,UAKWAFAClgAAGAcwAAAAAA==,"""718耀光石像"""
134,UAKWAFAClgAAGQcwAAAAAA==,"""719烏黑軟體獸"""
135,UAKWAFAClgAAIAcwAAAAAA==,"""720★！約亞西姆變形！"""
136,UAKWAFAClgAAIQcwAAAAAA==,"""721小型角猿"""
137,UAKWAFAClgAAIgcwAAAAAA==,"""722幻魔"""
138,UAKWAFAClgAAIwcwAAAAAA==,"""723星星甲殼蟲"""
139,UAKWAFAClgAAJAcwAAAAAA==,"""724羽蛇神"""
140,UAKWAFAClgAAJQcwAAAAAA==,"""725吸血魔人"""
141,UAKWAFAClgAAJgcwAAAAAA==,"""726妖異巨像"""
142,UAKWAFAClgAAJwcwAAAAAA==,"""727陸戰鳳梨獸"""
143,UAKWAFAClgAAKAcwAAAAAA==,"""728赤紅致命毒蜘蛛"""
144,UAKWAFAClgAAKQcwAAAAAA==,"""729鋼鐵完全體"""
145,UAKWAFAClgAAMAcwAAAAAA==,"""730喧鬧幽靈"""
146,UAKWAFAClgAAMQcwAAAAAA==,"""731泥炭軟球"""
147,UAKWAFAClgAAMgcwAAAAAA==,"""732冰禿鷹"""
148,UAKWAFAClgAAMwcwAAAAAA==,"""733焰光英雄"""
149,UAKWAFAClgAANAcwAAAAAA==,"""734骷髏邪首"""
150,UAKWAFAClgAANQcwAAAAAA==,"""735鬼炎"""
151,UAKWAFAClgAANgcwAAAAAA==,"""736骷髏戰士"""
152,UAKWAFAClgAANwcwAAAAAA==,"""737骷髏射手"""
153,UAKWAFAClgAAOAcwAAAAAA==,"""738惡魔亡骸"""
154,UAKWAFAClgAAOQcwAAAAAA==,"""739骷髏騎兵"""
155,UAKWAFAClgAAQAcwAAAAAA==,"""740無頭騎士"""
156,UAKWAFAClgAAQQcwAAAAAA==,"""741偽裝石像"""
157,UAKWAFAClgAAQgcwAAAAAA==,"""742黃金雕像"""
158,UAKWAFAClgAAQwcwAAAAAA==,"""743餓鬼亡屍"""
159,UAKWAFAClgAARAcwAAAAAA==,"""744飄舞仙女"""
160,UAKWAFAClgAARQcwAAAAAA==,"""745榔頭小妖精"""
161,UAKWAFAClgAARgcwAAAAAA==,"""746亡靈引導者"""
162,UAKWAFAClgAARwcwAAAAAA==,"""747夢魘"""
163,UAKWAFAClgAASAcwAAAAAA==,"""748白遲緩蟲"""
164,UAKWAFAClgAASQcwAAAAAA==,"""749異形怪"""
165,UAKWAFAClgAAUAcwAAAAAA==,"""750阿拉克涅"""
166,UAKWAFAClgAAUQcwAAAAAA==,"""751大惡魔"""
167,UAKWAFAClgAAUgcwAAAAAA==,"""752ＤＳ仿生怪"""
168,UAKWAFAClgAAUwcwAAAAAA==,"""753蒼蠅王"""
169,UAKWAFAClgAAVAcwAAAAAA==,"""754曙光宣告人偶"""
170,UAKWAFAClgAAVQcwAAAAAA==,"""755高等寄生蟲"""
171,UAKWAFAClgAAVgcwAAAAAA==,"""756獵犬帝王（輕裝甲）"""
172,UAKWAFAClgAAVwcwAAAAAA==,"""757死亡月魔"""
173,UAKWAFAClgAAWAcwAAAAAA==,"""758黑玉烏龜"""
174,UAKWAFAClgAAWQcwAAAAAA==,"""759吸血蚊"""
175,UAKWAFAClgAAYAcwAAAAAA==,"""760鋼鐵攻擊者"""
176,UAKWAFAClgAAYQcwAAAAAA==,"""761深淵蠕蟲"""
177,UAKWAFAClgAAYgcwAAAAAA==,"""762刀刃狂牙"""
178,UAKWAFAClgAAYwcwAAAAAA==,"""763天使人偶"""
179,UAKWAFAClgAAZAcwAAAAAA==,"""764黏性蛞蝓"""
180,UAKWAFAClgAAZQcwAAAAAA==,"""765小企鵝群"""
181,UAKWAFAClgAAZgcwAAAAAA==,"""766食人捕蠅草"""
182,UAKWAFAClgAAZwcwAAAAAA==,"""767巨吻蝴蝶鳥"""
183,UAKWAFAClgAAaAcwAAAAAA==,"""768食人鯊"""
184,UAKWAFAClgAAaQcwAAAAAA==,"""769飛行貓"""
185,UAKWAFAClgAAcAcwAAAAAA==,"""770灰暗海妖"""
186,UAKWAFAClgAAcQcwAAAAAA==,"""771邪骨章魚"""
187,UAKWAFAClgAAcgcwAAAAAA==,"""772黑檀鱗甲魚"""
188,UAKWAFAClgAAcwcwAAAAAA==,"""773THO-XⅡ"""
189,UAKWAFAClgAAdAcwAAAAAA==,"""774幼生豬籠草"""
190,UAKWAFAClgAAdQcwAAAAAA==,"""775怪刺蟹Ｇ"""
191,UAKWAFAClgAAdgcwAAAAAA==,"""776巨大蝙蝠Ｆ"""
192,UAKWAFAClgAAdwcwAAAAAA==,"""777酸毒土龍"""
193,UAKWAFAClgAAeAcwAAAAAA==,"""778巨甲水螅"""
196,UAKWAFAClgAAmAgwAAAAAA==,"""898魔人約亞西姆（向）"""
197,UAKWAFAClgAAmQgwAAAAAA==,"""899魔人約亞西姆（銀）"""
999,AAAAAAAAAAAAAAAAAAAAAA==,""" """
