ItemType,Data,Name,Desc
None,CgDCIQcEKClkAAEADAAZAB4ARgAZAAMAGQADAA==,"""神聖祝福""","""輔助：單體・STR/DEF+25％\n強化１名我方攻防能力。一定回合內STR/DEF+25％。"""
None,CgDCIQcEOABkAAEADAAZACgARgAAAAIAAAAAAA==,"""虛空幻域""","""輔助：單體・匿蹤\n折射光線借以藏身。一定回合內維持「匿蹤」狀態。"""
None,CgASIQcFTQBkAAUADwAZADIARgAAAAAAAAAAAA==,"""狂亂之月""","""妨礙：大圓・等級低於術者混亂100％\n讓對方見到月之幻影，能確實使技不如己的敵人陷入「混亂」狀態。"""
Empty,,,
Empty,,,
Empty,,,
Empty,,,
Empty,,,
None,CgDDIQIEGyBkAAEAAwAUAAoACgD0AQIAAAAAAA==,"""回復術""","""回復：單體・HP小回復・解除「炎傷」\n以治癒生命的水之力小幅回復１名夥伴的HP。"""
None,CgDDIQIEGyBkAAEABAAUAB4ACwDcBQIAAAAAAA==,"""中回復術""","""回復：單體・HP中回復・解除「炎傷」\n以治癒生命的水之力中幅回復１名夥伴的HP。"""
None,CgDDIQIEGyBkAAEABgAUADwADACIEwIAAAAAAA==,"""大回復術""","""回復：單體・HP大回復・解除「炎傷」\n以治癒生命的水之力大幅回復１名夥伴的HP。"""
None,CgDCIQIFLQBkAAMADAAUACgAGAAyAAMAAAAAAA==,"""幻影水壁""","""輔助：中圓・迴避率+50％\n凭借水之防壁迴避敵人攻擊。一定回合內迴避率+50％。"""
None,CgASIQIFCABkAAMACgAUAAoAGQBkAAUAAAAAAA==,"""鈷藍之珠""","""妨礙：中圓・封魔100％\n一定回合內封印敵方魔法。"""
None,CgDjIQIEMgBkAAEACgAUAFAADgDQBwAAAAAAAA==,"""聖靈術""","""回復：單體・解除「無法戰鬥」・HP中回復\n解除１名夥伴的「無法戰鬥」狀態，並中幅回復HP。"""
None,CgDjIQIEMgBkAAEABQAUAB4ADQD0AQAAAAAAAA==,"""復活術""","""回復：單體・解除「無法戰鬥」・HP小回復\n解除１名夥伴的「無法戰鬥」，並小幅回復HP。"""
Empty,,,
Empty,,,
Empty,,,
Empty,,,
Empty,,,
None,CgASBAAGUAAGAAUAAgAiAAAAAABkAAAAAAAAAA==,""" """,""" """
Repeat,,,
Repeat,,,
None,kQASAAACAQAAAAAAAAAAAAAAAQAAAAAAAAAAAA==,""" """,""" """
Repeat,,,
Repeat,,,
None,kgASAAAyAAAAAAEAAAAeAAAAAAAAAAAA/wAAAA==,"""分裂""","""分裂為兩隻，HP各為原體的1/2。"""
None,kwASAAAyAAAAAAEAAAAeAAAAAAAAAAAA/wAAAA==,"""呼叫同伴""",""" """
None,CAASAQABEA8AAAEAAAAAAAAAAABkAAMALAEAAA==,""" """,""" """
None,AAAAAAABAQAAAAAAAAAoAAAAAAABAAAAAAAAAA==,""" """,""" """
None,BwASAAAPAQAAAAIAAAAjABQAFABkAAAAAAAAAA==,"""加速連擊""","""攻擊戰技：小圓（指定地點）\n以帶有衝擊波的旋棍發動連續攻擊。"""
None,BwASAAABAVMBAAEAAAAeAB4AFQBfAAAAZAAUAA==,"""電擊崩解""","""攻擊戰技：單體・解除技能/魔法驅動・昏厥20％\n發動強烈的電擊，解除驅動中的技能與魔法。"""
None,BwDCAQAOKAAAAAUAAAAZAB4AFgAZAAMAAAAAAA==,"""鼓舞""","""輔助戰技：大圓・STR+25％\n熱烈鼓舞我方，提高士氣。一定回合內STR+25％。"""
None,BwASAAAMAQdkAAMAAAAjABQAFwBkAAAASwAFAA==,"""勇猛碎擊""","""攻擊戰技：直線（指定地點）・封技75％\n集中對單點攻擊，帶有鬥氣的突破技。75％機率造成「封技」狀態。"""
None,BwDCAAAEVQAAAAAAAAAAACgAGAAyAAUAAAAAAA==,"""燃燒之心""","""輔助戰技：自身・STR/DEF/SPD+50％・防止「所有異常狀態」\n凭借炎之鬥志獲得超越極限的力量，但一定回合後會陷入「昏厥」狀態。"""
None,BwASAAABAQAFAAMAAAAjABQAFAB4AAAAAAAAAA==,"""３點爆擊""","""攻擊戰技：單體\n將精神凝聚集中，發動精准無比的三連射。"""
Repeat,,,
Repeat,,,
Repeat,,,
Repeat,,,
Repeat,,,
None,BwDCAQALGx0FAAIAAAAjACgAFQD6ABQAFAAAAA==,"""神聖子彈""","""回復戰技：小圓（指定地點）・HP小回復・CP+20\n將神聖祝福加諸於子彈中，回復範圍內我方的HP與CP。"""
None,BwASAAABARIEAAEAAAAeAB4AFgBkAAAAZAAAAA==,"""狂野天鵝""","""攻擊戰技：單體・解除驅動中的戰技/魔法\n使用兩把手槍與踢擊發動連續進攻，解除驅動中的戰技和魔法。"""
None,BwASAAAPAQAAAAYAAAAjACgAFwBkAAAAAAAAAA==,"""幻影十字""","""攻擊戰技：大圓（指定地點）\n踏入前線，放射出犀利子彈的槍擊。"""
None,BwCCAQACNgAFAAIAAAAyAB4AGAAAAAAAAAAAAA==,"""魔擊鐘聲""","""輔助戰技：小圓・加速\n將掌管時間法則的結界具現化並加以破壞，加速行動順序。"""
None,BwASAQABT1FkAAEAAAAZABQAFADn/wMAAAAAAA==,"""情報解析""","""輔助戰技：單體・DEF/ADF-25％\n找出敵方要害，使其弱化。一定回合內DEF/ADF-25％。"""
Repeat,,,
Repeat,,,
Repeat,,,
Repeat,,,
Repeat,,,
None,BwASAAACAwADAAMAAAAjAB4AFQBkAAAAAAAAAA==,"""光束斬劍""","""攻擊戰技：中圓\n於魔導杖前端展開光刃，掃蕩敵人。"""
None,BwDCAQAEAAAAAAAAAAAeAB4AFgAAAAAAAAAAAA==,"""賽特召喚""","""輔助戰技：召喚輔助成員「賽特」\n透過魔導杖傳送意念，呼喚賽特。"""
None,BwDCAQACGzEFAAMAAAAeACgAFwCEAwgAAAAAAA==,"""能量之環""","""回復戰技：中圓・HP中回復・解除「所有異常狀態・能力降低」\n展開能解除身體異狀的回復防壁。"""
None,BwASAAALAwUIAAIAAAAjADIAGADIAAAAZAADAA==,"""絕對零度""","""攻擊戰技：小圓（指定地點）凍結100％\n自變形的魔導杖所施放的絕對零度魔法彈。"""
None,BwASAAACAREBAAIAAAAjABQAFABkAAAAKAAAAA==,"""全力一擊""","""攻擊戰技：小圓・延遲\n振臂砍下的全力一擊，可延遲敵方行動順序。"""
Repeat,,,
Repeat,,,
Repeat,,,
Repeat,,,
Repeat,,,
None,BwASAAADAQYMAAIAAAAeAB4AFQBkAAAAUAADAA==,"""炎龍衝擊""","""攻擊戰技：直線（貫穿）・炎傷80％\n外型如龍一般的火焰衝擊波。"""
None,BwASAAALAQkFAAUAAAAoAB4AFgBLAAAAZAAFAA==,"""閃光彈""","""攻擊戰技：大圓（指定地點）黑暗100％\n投擲閃光手榴彈，100％陷入「黑暗」狀態。"""
None,BwDCAQAENwAAAAAAAAAZAAAAFwAeADwAAAAAAA==,"""戰嚎""","""輔助戰技：自身・CP+60・損傷值為最大HP的30％\n以戰嚎引發出鬥氣，將體力轉化為CP。"""
None,BwASAAARAQ9kAAMAAAAZAB4AGACCAAAAPAAAAA==,"""死亡風暴""","""攻擊戰技：直線（指定地點）・無法戰鬥60％\n自由馳騁於戰場，以如惡鬼般的氣勢蹂躪敵方。"""
None,BwASAAABASwBAAEAAAAeABQAFABkAAAAzv8DAA==,"""幻影衝擊""","""攻擊戰技：單體・SPD-50％\n凭借高速連擊阻礙敵方行動。一定回合內SPD-50％。"""
Repeat,,,
Repeat,,,
Repeat,,,
Repeat,,,
Repeat,,,
None,BwASAAAPAQAAAAIAAAAeABQAFQBkAAAAAAAAAA==,"""旋風踢""","""攻擊戰技：小圓（指定地點）\n凭借體重施力發動的迴旋踢擊。"""
None,BwASAAAEARIKAAEAAAAeABQAFgBkAAAAZAAAAA==,"""三聖之卡""","""攻擊戰技：單體・解除技能/魔法驅動\n華麗地射出神秘卡片，解除驅動中的技能與魔法。"""
None,BwASAAAFAQAKAAIAAAAUABQAFABQAAAAAAAAAA==,"""龍爪斬""","""攻擊戰技：小圓\n用鉤爪將敵人拉至面前，近身之後用大劍橫掃。"""
Repeat,,,
Repeat,,,
Repeat,,,
Repeat,,,
Repeat,,,
Repeat,,,
Repeat,,,
None,BwASAAABAQ8FAAIAAAAUABQAFQBkAAAAWgAAAA==,"""爆雷符""","""攻擊戰技：單體・無法戰鬥90％\n擲出貼有引爆符的苦無。90％機率造成「無法戰鬥」狀態。"""
None,BwDCAQAEKCwAAAEAAAAUABQAFgAyAAMAMgADAA==,"""麒麟功""","""輔助戰技：自身・STR/SPD+50％\n瞬間提煉體內之氣，一定回合內提升STR和SPD。"""
None,BwASAAADAQBkAAQAAAAUABQAFwBkAAAAAAAAAA==,"""崩月輪""","""攻擊戰技：直線（貫穿）\n擲出迴旋大劍，將眼前的敵人一掃而空。"""
None,BwDCAQAOKAAAAAUAAAAUABQAFAAZAAMAAAAAAA==,"""鼓勵""","""輔助戰技：大圓・STR+25％\n以洪亮聲音鼓勵夥伴。一定回合內STR+25％。"""
Repeat,,,
Repeat,,,
Repeat,,,
Repeat,,,
Repeat,,,
Repeat,,,
None,BwASAAADAQBkAAIAAAAYABQAFQBkAAAAAAAAAA==,"""極・捻絲棍""","""攻擊戰技：直線（貫穿）\n以棍棒發出衝擊波攻擊，貫穿敵人持續向前。"""
None,BwASAAAPAQAAAAMAAAAWAB4AFgBfAAAAAAAAAA==,"""極・旋風輪""","""攻擊戰技：中圓（指定地點）\n高速旋轉棍棒，將遭捲入的敵人化為塵土。"""
None,BwASAAACARICAAMAAAAWABkAFwBkAAAAZAAAAA==,"""極・金剛擊""","""攻擊戰技：中圓・解除技能/魔法驅動\n貫穿要害的無雙一擊，解除驅動中的技能與魔法。"""
None,BwASAAABAQABAAEAAAAeABQAGAB4AAAAAAAAAA==,"""百烈擊""","""攻擊戰技：單體\n以壓倒性連打擊飛敵人的大師招式。"""
None,BwASAAABAQABAAEAAAAZABQAFABfAAAAAAAAAA==,"""極・雙連擊""","""攻擊戰技：單體・攻擊２次\n以雙劍發動劈裂蒼空的２次連續劍擊。"""
Repeat,,,
Repeat,,,
Repeat,,,
Repeat,,,
Repeat,,,
None,BwASAAADARFkAAEAAAAeAB4AFQBkAAAAHgAAAA==,"""極・絕影""","""攻擊戰技：直線（貫穿）・延遲\n以肉眼無法看清的速度劈斬敵人，延遲行動順序。"""
None,BwASAAABAQ8BAAEAAAAZABQAFgBkAAAAFAAAAA==,"""極・朧""","""攻擊戰技：單體・無法戰鬥20％\n凭借洗练拔刀術施展的一擊。20％機率造成「無法戰鬥」狀態。"""
None,BwASAAAFAREIAAMAAAAjACgAFwBkAAAAMgAAAA==,"""極・魔眼""","""攻擊戰技：中圓・延遲\n以黃金之瞳凝視敵人，延遲行動順序。"""
None,BwASAAAOAQAAAAYAAAAZAB4AGABkAAAAAAAAAA==,"""雷光擊""","""攻擊戰技：大圓\n對敵方集團施以有如暴風雨般的連續攻擊，高手境界的武技。"""
None,BwASAAACAQoFAAMAAAAeABQAFABkAAAASwAFAA==,"""Ｓ榴彈""","""攻擊戰技：中圓・睡眠75％\n以榴彈發射器擊發強力的催眠瓦斯彈。"""
Repeat,,,
Repeat,,,
Repeat,,,
Repeat,,,
Repeat,,,
None,BwASAAABAREFAAEAAAAeABQAFQBuAAAAHgAAAA==,"""奇襲連擊""","""攻擊戰技：單體・延遲\n以幾乎要將子彈射盡的多發連射延遲行動順序。"""
None,BwASAAACAS4FAAMAAAAeABQAFgBkAAAA+/8DAA==,"""電磁網""","""攻擊戰技：中圓・MOV-5\n射出捕捉兇惡犯罪者用的高壓電流網。"""
None,BwASAAALASkFAAMAAAAeABQAFAB4AAAA5/8DAA==,"""散彈槍""","""攻擊戰技：中圓（指定地點）・DEF-25％\n凭借強力散彈槍擊破敵方裝甲。"""
Repeat,,,
Repeat,,,
Repeat,,,
Repeat,,,
Repeat,,,
Repeat,,,
Repeat,,,
None,BwCCAQABQh0BAAEAAAAeAB4AFQAeAAAAKAAAAA==,"""愛之鐵拳""","""回復戰技：單體・HP30％回復・CP+40\n以嚴厲又洋溢愛情的鐵拳激勵夥伴。"""
None,BwASAAACARECAAMAAAAeAB4AFgB4AAAAHgAAAA==,"""勝利衝鋒""","""攻擊戰技：中圓・延遲\n凭借身經百戰的強悍肉體發動撞擊，能延遲行動順序。"""
None,BwASAAABAQ8IAAEAAAAeACgAFwCWAAAAZAAAAA==,"""審判子彈""","""攻擊戰技：單體・100％無法戰鬥\n發射在城市內禁止使用的超威力強化彈。"""
None,BwCCAQAOKCwAAAcAAAAeABQAGAAZAAMAGQADAA==,"""號令""","""輔助戰技：大圓・STR/SPD+25％\n發出激起鬥志的號令，提升範圍內夥伴的STR和SPD。"""
None,CAASAQAEAQdkAAEAAAAjAGQAAQDmAAAAZAAFAA==,"""猛虎衝鋒""","""攻擊Ｓ戰技：單體・100％封技\n用怒濤般的連續攻擊壓倒敵人，如猛虎般的突擊技。"""
Repeat,,,
Repeat,,,
Repeat,,,
Repeat,,,
Repeat,,,
None,CAASAQAFAQBkAAQAAAAjAGQAAgBAAQAAAAAAAA==,"""旭日東昇""","""攻擊Ｓ戰技：中圓\n將擊到上空的敵人卷入到連打的漩渦之中，如飛升之龍般的絕技。"""
None,CADiAQAFUgBkAAgAAAAjAGQAAQAyAGQAAAAAAA==,"""極光之雨""","""回復Ｓ戰技：大圓・解除「無法戰鬥」・HP50％回復\n降下療癒之雨回復範圍內我方的HP。CP最大時可完全回復。"""
Repeat,,,
Repeat,,,
Repeat,,,
None,CAASAQAFAwBkAAQAAAAjAGQAAgBeAQAAAAAAAA==,"""大氣加農""","""攻擊Ｓ戰技：中圓\n吸收大氣中滿溢的能源所擊發的高密度光彈。"""
None,CAASAQADAwBkAAYAAAAjAGQAAQBeAQAAAAAAAA==,"""乙太爆裂射""","""攻擊Ｓ戰技：直線（貫穿）\n凭借變形魔導杖射出的無比強力雷射光線。"""
Repeat,,,
Repeat,,,
Repeat,,,
None,CADCAQANPABkAGQAAAAjAGQAAgABAAIAAAAAAA==,"""虛無領域""","""輔助Ｓ戰技：全體・完全防禦\n展開絕對障壁，完全防禦１次（CP最大時為２次）。"""
None,CAASAQAFAQYAAAQAAAAjAGQAAQDIAAAAZAADAA==,"""赤炎颶風""","""攻擊Ｓ戰技：中圓・炎傷100％\n纏繞鬥氣火焰的全力掃蕩攻擊。"""
Repeat,,,
Repeat,,,
Repeat,,,
None,CAASAQAFAQAAAAUAAAAjAGQAAgAsAQAAAAAAAA==,"""死亡天蠍""","""攻擊Ｓ戰技：大圓\n沸騰著鬥神之血，將敵人無情殲滅，殘暴的衝刺攻擊。"""
None,CAASAQAEAQBkAAEAAAAjAGQAAQAYAQAAAAAAAA==,"""致命天堂""","""攻擊Ｓ戰技：單體\n以追擊之勢發動高速多段踢擊。"""
Repeat,,,
Repeat,,,
Repeat,,,
None,CAASAQANAQBkAGQAAAAjAGQAAQAiAQAAAAAAAA==,"""幻月之舞""","""攻擊Ｓ戰技：全體\n以月之幻影及鉤爪擄獲獵物，再凭借大劍一擊將之葬送的暗殺術。"""
Repeat,,,
Repeat,,,
Repeat,,,
Repeat,,,
None,CAASAQAFAQBkAAQAAAAjAGQAAQBAAQAAAAAAAA==,"""鳳凰烈波""","""攻擊Ｓ戰技：中圓\n纏繞如不死鳥般的鬥氣，具備傲人破壞力的旋轉攻擊。"""
Repeat,,,
Repeat,,,
Repeat,,,
Repeat,,,
None,CAASAQANAQBkAAEAAAAoAGQAAQAsAQAAAAAAAA==,"""真・幻影奇襲""","""攻擊Ｓ戰技：全體\n以造出殘像的幻影接連掃蕩敵人，匿蹤招式之極致。"""
Repeat,,,
Repeat,,,
Repeat,,,
Repeat,,,
None,CAASAQAFAQBkAAMAAAAjAGQAAQAYAQAAAAAAAA==,"""爆擊風暴""","""攻擊Ｓ戰技：中圓\n接連以重兵器發動攻擊，使敵人置身刻不容緩的密集砲火之中。"""
Repeat,,,
Repeat,,,
Repeat,,,
Repeat,,,
None,CAASAQAFAQBkAAIAAAAjAGQAAQAsAQAAAAAAAA==,"""正義鐵拳""","""攻擊Ｓ戰技：小圓\n引爆已達極限的對「惡」之怒火，發動正義鐵拳制裁。"""
Repeat,,,
Repeat,,,
Repeat,,,
Repeat,,,
None,BACCAQANKB1kAGQAAAAAAAAADwAZAAMAHgAAAA==,"""激勵之心""","""支援戰技：輔助・全體・STR+25％・CP+30\n以熱情的聲援將夥伴的靈魂激勵點燃，提升STR和CP。"""
Repeat,,,
Repeat,,,
Repeat,,,
Repeat,,,
None,BACCAQAFQilkAAMAAAAAAAAADwAcAAAAGQADAA==,"""聖祭子彈""","""支援戰技：回復・中圓・HP28％回復・DEF+25％\n射出能同時回復體力並增幅耐力的特殊子彈。"""
Repeat,,,
Repeat,,,
